nom,adresse,arrondissement,arrondissement2,telephone,prix,cuisine1,cuisine2,cuisine3,cuisine4,cuisine5,cuisine6,cuisine7,doublon?,doublon
Haut Bois Normand,"426, chemin George Bonnallie",Eastman,,(450) 297-2659,2,Cabane à sucre,,,,,,,,
Le Côte - Cuisine & Bar - Eastman,"4, chemin George Bonnallie",Eastman,,(450) 297-3737,2.5,Steakhouse,Fruits de mer/Poissons,Grillades,Marché,Salades,,,,
Okane Sushi Bar,"8050, boul. Taschereau",Brossard,,(450) 300-0968,2,Japonaise,Sushi,,,,,,,
Kamikaze Comptoir A Sushi,"1058, rue St-Isidore",Saint-Lin-Laurentides,,(450) 302-2220,1,Sushi,,,,,,,,
Les Délices de Rosa GRILL,"6262, rue Principale",St-Calixte,,(450) 303-3000,1.5,Pizza,Pâtes,Grillades,Italienne,Américaine,Barbecue-BBQ,Fruits de mer/Poissons,,
Teckel,"949, boul. Arthur-Sauvé",Laval-Ouest,,(450) 314-3180,1,Réconfort,Burgers,,,,,,,
Le Poutine Bar,"4750, boul. Ste-Rose",Fabreville,Laval-Ouest,(450) 314-4343,1,Poutine,Sandwichs,Burgers,Réconfort,,,,,
Chez NatGio's & Charlie,"654, Chemin Bord de l'Eau",Sainte-Dorothée,Laval-Ouest,(450) 314-5060,2,Italienne,,,,,,,,
Zesto Express,"17, boul. Samson",Sainte-Dorothée,Chomedey,(450) 314-5144,1,Pizza,Sandwichs,Pâtes,Burgers,,,,,
Mimosa,"1178, boul. Ste-Foy",Longueuil,Vieux Longueuil,(450) 321-1404,1,Vietnamienne,,,,,,,,
Grand Tandoori,"3736, boul. Grande Allée",Saint-Hubert,Longueuil,(450) 321-2352,1,Indienne,Halal,,,,,,,
